Mean,StDev
1,0.049976507
3.5,2.928192731
1,-0.855797632
6,6.486628562
6,5.677140191
1,0.125554993
6,6.564791455
2.25,2.325306387
6,4.775010924
2.25,2.614035196
4.75,5.218757086
3.5,4.17579722
6,6.693582069
2.25,1.914677695
3.5,3.56493223
1,0.6218475
2.25,3.637795019
1,0.014930361
1,1.462116341
6,5.672169822
6,6.681405351
2.25,1.719634319
2.25,1.691888011
4.75,4.25835684
4.75,4.105971659
1,1.012334855
6,5.107404312
6,6.033745036
2.25,3.170527001
4.75,4.958132879
3.5,3.779081572
3.5,4.837328404
2.25,3.002624862
2.25,1.684202145
6,6.348459522
1,2.421487763
1,1.101355125
6,5.092611003
1,1.976880475
1,1.990334654
6,6.786639961
3.5,3.972284911
4.75,5.724476603
6,5.138242652
4.75,3.821686465
4.75,5.073910217
3.5,3.703928318
6,6.119628552
3.5,4.345345738
4.75,3.847986181
4.75,4.966498379
1,1.015504391
4.75,5.092247178
4.75,5.790967997
3.5,4.278831341
6,6.771596481
3.5,3.316844676
3.5,3.555738479
4.75,5.373283889
4.75,5.897827681
3.5,2.824882895
6,4.291771006
1,0.783803426
3.5,1.970321203
1,-0.257801316
4.75,3.711218367
4.75,4.651506893
6,6.025939049
1,1.23734363
6,7.166756412
1,0.225077803
6,5.446318319
3.5,2.687621122
3.5,2.75001144
6,6.15153102
4.75,5.126222036
1,0.703395909
1,0.217496474
3.5,3.018000307
6,5.105449959
6,6.275825808
2.25,2.720458474
4.75,4.417658313
2.25,1.692750284
4.75,4.879316609
4.75,4.598996113
2.25,1.781144607
2.25,0.745478257
6,6.55124234
4.75,4.108528335
6,5.736877501
6,5.540751534
4.75,5.204975806
2.25,1.282678308
4.75,4.44476234
4.75,3.864265308
6,5.811075218
1,-0.084790896
4.75,3.654138209
1,0.20157803
