Mean,StDev
4.5,3.178109515
6,5.925311472
6,6.055763073
7.5,7.250022609
3,2.024852583
3,4.501149761
6,5.284924345
7.5,6.421224562
3,5.237059579
3,2.673462228
3,2.695547271
3,3.930365819
3,3.050348373
4.5,4.557254254
4.5,4.623114751
6,6.509269899
3,5.278099062
7.5,6.372470535
1.5,2.920206749
7.5,7.574567129
4.5,5.322505814
4.5,5.479786438
3,3.376153152
1.5,2.942959697
1.5,1.791957724
7.5,7.129847034
6,5.75498811
6,7.811882329
6,6.629871038
3,3.160328035
6,5.612151014
7.5,8.680427878
4.5,3.934955011
4.5,4.83251733
1.5,2.208251609
7.5,7.232611405
4.5,4.326982528
7.5,5.242518348
4.5,4.146469971
4.5,5.513345631
6,5.826008154
3,2.632500878
4.5,5.106057573
3,0.829655921
6,5.305220769
1.5,0.848793489
6,5.409824175
4.5,4.455112298
4.5,5.071551725
7.5,9.836559659
7.5,6.61815355
1.5,1.222429447
7.5,8.896286533
1.5,1.752160702
3,2.919045579
7.5,6.740768373
7.5,7.107928614
1.5,0.84150778
1.5,0.620802867
1.5,0.44576763
4.5,5.575027384
3,4.751295306
6,4.982514198
7.5,8.010118598
3,2.340429085
7.5,7.309871999
6,5.979487806
3,3.113464748
6,7.972239643
6,5.541627506
1.5,0.987706238
4.5,4.133767757
3,2.267691112
3,3.056623984
3,3.791687893
6,6.303612231
6,4.067230832
7.5,9.296752775
4.5,4.638438428
4.5,6.363498916
1.5,0.222813124
4.5,4.331313165
3,1.492125938
1.5,1.506988455
6,6.690023696
3,1.769337382
7.5,6.603605197
4.5,5.693728633
7.5,7.60812914
7.5,7.14622781
1.5,1.812878482
3,3.326770341
7.5,7.130784479
4.5,5.668939501
4.5,4.523604378
7.5,6.97119833
3,3.520980664
7.5,8.036565814
4.5,4.186570556
1.5,2.450353177
6,6.085212777
1.5,0.481957632
3,2.454073214
1.5,2.868349865
4.5,5.70064784
7.5,6.773205118
1.5,1.649902037
3,3.306125081
4.5,5.505807417
1.5,0.30167391
6,5.399450489
7.5,8.748059826
3,1.564798061
4.5,4.862713974
1.5,1.941567934
3,4.023219197
3,1.150904679
4.5,5.650230492
7.5,6.701187077
7.5,5.643230819
4.5,4.789066277
6,6.314808483
1.5,1.310723778
7.5,8.308770063
6,5.218234397
6,7.327935136
1.5,0.108873672
3,4.423688799
7.5,7.278875952
3,3.515728934
7.5,8.120272839
1.5,3.737253983
4.5,5.293853254
7.5,7.785406763
7.5,6.016772655
3,2.948651682
7.5,6.656828164
6,5.829420502
1.5,1.029815827
1.5,3.237931441
3,2.093374946
1.5,-1.243753679
1.5,0.390554596
7.5,5.864555601
1.5,0.761842505
4.5,4.909346731
4.5,6.339716391
3,1.866037945
7.5,7.110825267
3,4.182489684
4.5,3.136718407
6,5.610518605
4.5,5.369944164
3,4.305293254
6,6.280316645
4.5,5.817452695
6,5.388832939
1.5,1.258116089
4.5,1.827518016
6,5.836792583
7.5,6.606319985
1.5,0.237479439
1.5,2.434966967
7.5,6.594995959
4.5,5.532377248
1.5,1.266816445
7.5,6.969921368
6,8.800084532
