Mean,StDev
13.5,12.61135722
15,13.24769508
1.5,-0.883044228
13.5,14.05697332
12,11.87329916
15,14.400851
4.5,4.22810576
9,9.213378441
6,5.665681017
7.5,7.67799918
4.5,3.742109198
10.5,12.26637604
12,12.46767761
4.5,4.061800528
15,15.61047213
13.5,12.13214847
3,4.512726781
1.5,-0.73523272
12,14.58906133
10.5,11.26730042
15,13.81418211
10.5,9.995873898
4.5,4.619287566
6,6.657774258
9,9.353386095
3,5.441765788
13.5,11.9170746
6,5.918259686
3,3.082928203
7.5,6.292146092
10.5,10.65254014
3,4.010139635
7.5,7.459627374
15,14.30427365
10.5,10.41108648
9,9.401074408
10.5,9.973920384
15,14.47954223
4.5,5.419222977
9,7.795464713
12,12.39428331
3,0.953456256
6,7.388063784
10.5,10.26172526
13.5,13.14399108
12,12.48926303
15,14.43002226
6,4.712804275
1.5,0.392123132
4.5,4.955744283
1.5,0.943021059
3,4.796155292
4.5,4.101753866
4.5,5.663054362
1.5,0.992370967
9,10.2518239
7.5,7.198158464
12,10.81033668
9,8.699588842
12,12.49700645
4.5,4.341672399
13.5,13.85240431
1.5,1.59837587
13.5,13.38941186
4.5,4.918803141
9,9.513948344
7.5,7.58211765
15,13.31494659
4.5,4.630057454
4.5,6.062019626
4.5,4.712637322
9,8.63232069
3,2.578755847
10.5,11.34308933
7.5,7.709733011
9,9.400367079
3,2.22244048
10.5,9.852182611
13.5,15.17907022
12,13.31631841
1.5,2.151503412
6,5.859358876
10.5,9.969735172
9,8.715013581
12,13.1727459
1.5,1.975987868
6,6.158366384
15,13.94750174
9,9.665341464
13.5,12.15249771
10.5,9.952547579
4.5,5.153820923
1.5,0.905147677
9,9.240957269
3,1.469377158
15,14.70664079
10.5,10.21994528
3,4.147864208
1.5,1.684515031
6,6.38607466
13.5,14.43059244
9,9.628235315
9,10.38979682
15,15.63814648
7.5,7.809854416
9,9.070113577
1.5,1.454699292
3,3.771422043
7.5,7.699682183
7.5,6.802443947
7.5,8.568228303
12,13.68450144
4.5,3.584060654
3,2.236747945
3,3.881042529
10.5,10.0024618
4.5,5.274818963
12,13.00666907
13.5,12.35426971
13.5,11.9139475
13.5,13.86286682
15,14.13289324
13.5,12.66416753
10.5,10.25303253
6,4.75169932
3,3.101717266
3,2.004064301
6,5.681315897
3,2.842967132
15,14.7533367
6,5.301857704
9,7.049165858
1.5,1.394288803
13.5,12.53930926
9,10.22077807
3,3.293927273
1.5,1.981552676
7.5,6.403233783
10.5,9.761088493
7.5,6.808116248
3,3.887449326
15,14.93488414
12,11.90955723
4.5,3.08974762
9,8.349313877
9,9.131268759
4.5,3.907698819
7.5,5.988938294
4.5,5.169946357
1.5,3.292657455
7.5,6.898117848
13.5,14.02789755
7.5,4.754659682
10.5,11.37938053
6,5.027445933
9,8.960503492
12,11.90008535
3,4.894577097
6,6.790762939
3,3.330609708
15,13.8770092
10.5,10.52515111
15,13.84743899
12,10.78965973
9,9.491836019
10.5,10.55928633
4.5,4.843816633
6,7.074493831
9,8.480415847
9,8.708196342
3,2.551551101
10.5,10.62936747
4.5,4.033266646
1.5,1.209029538
7.5,9.08939056
1.5,1.820169899
10.5,9.148513053
15,15.03568012
7.5,7.313602362
15,15.61637955
15,17.28567433
9,7.937698576
6,7.278284834
4.5,4.365366438
13.5,15.18232511
13.5,13.73899218
6,5.525634338
13.5,13.49678315
10.5,12.54430834
1.5,1.863988709
4.5,3.036304454
7.5,7.290740829
12,13.00739904
1.5,1.758686956
4.5,4.577291621
6,7.373020758
9,6.492950669
1.5,0.662896792
10.5,11.71162298
15,16.81244245
13.5,14.56502527
6,4.968131278
1.5,3.728173056
1.5,0.112744407
15,15.07997677
6,5.882220548
7.5,7.450465033
10.5,10.51936991
10.5,11.01156635
6,6.211116269
12,12.83384449
3,2.559147767
13.5,12.61837065
6,5.182492961
7.5,8.702419811
12,13.32003191
9,8.548389337
6,7.805401733
9,9.17079044
9,7.41527932
10.5,10.82831385
6,6.125668743
4.5,4.016342599
9,10.27612314
10.5,10.37562078
9,11.38520014
9,8.97122724
1.5,1.748359891
12,9.776461217
4.5,4.384375593
15,15.29690132
9,7.376813511
1.5,0.033289282
10.5,10.85175601
3,2.328096213
3,2.764284447
10.5,9.92083432
7.5,7.564302549
7.5,7.866427354
15,14.9692768
9,9.1647737
6,6.585921044
6,6.264218221
6,4.991035718
9,7.876804893
6,7.007520142
15,15.95007389
4.5,2.37258051
15,17.06316089
6,4.494978819
3,2.622772947
10.5,10.10595157
7.5,7.760149007
3,1.955464272
6,9.163649885
1.5,0.924016762
9,8.074924389
10.5,11.4937542
9,7.172353897
7.5,7.832372026
3,4.024146598
6,4.763521745
12,12.55794618
12,12.48111853
4.5,4.792231306
4.5,3.906618161
7.5,7.581094099
4.5,3.91659488
6,7.067741891
4.5,4.462321248
13.5,13.50255055
15,13.61817784
4.5,5.34543229
3,2.394643581
15,16.2010811
10.5,10.87623527
15,13.89133967
10.5,11.74978323
6,6.039678755
4.5,3.224472481
1.5,1.979613492
7.5,7.685653949
15,15.38012009
13.5,14.92911452
1.5,2.345091296
7.5,7.166943811
4.5,4.567971182
3,2.985939789
15,14.71834336
7.5,6.314388412
10.5,10.07578034
12,12.40545585
1.5,1.514766448
3,3.330568243
9,9.476968639
3,2.464753278
1.5,0.913178155
3,2.364431249
15,15.63151458
12,11.84302934
12,11.04644305
10.5,10.17133146
10.5,10.79961651
15,16.19651015
6,7.049960225
4.5,3.993092826
6,5.707199605
13.5,12.18003324
15,14.92382321
15,14.56154277
13.5,13.33868892
12,12.15196087
7.5,6.898146894
13.5,14.39549334
13.5,13.96117142
15,15.1241326
3,0.770750698
9,8.85970578
4.5,5.052526929
15,16.22598872
7.5,8.609755593
4.5,5.962598056
4.5,4.965668935
10.5,11.54518016
12,10.44953359
7.5,6.43639089
1.5,1.975095518
4.5,3.746797243
9,9.10529653
1.5,0.581845527
1.5,2.058340483
6,5.496012234
1.5,1.617092813
12,14.01791083
1.5,3.256522711
12,9.101972155
1.5,1.790768319
10.5,8.317819893
15,14.79802477
3,1.326606828
9,7.383993864
10.5,8.815592819
9,10.43068199
4.5,4.849315911
9,10.73557965
3,3.039506678
9,9.188512461
10.5,9.39387122
4.5,4.324813336
1.5,2.163202659
4.5,5.324824956
1.5,1.644970397
13.5,13.53378535
12,11.99836112
9,10.6071513
10.5,9.929497615
13.5,14.20655673
9,8.693790575
15,16.12990943
1.5,2.054494501
7.5,8.431452874
7.5,5.979339761
13.5,14.41799289
12,10.42104555
7.5,7.744884819
10.5,9.251197443
13.5,12.82581778
7.5,8.101781897
1.5,1.613708693
6,5.613395474
6,6.330883331
1.5,1.702297115
6,5.432397385
13.5,13.45755735
7.5,7.70922457
15,14.31901417
9,7.698027978
10.5,10.55764649
4.5,6.276447025
13.5,12.58120702
9,8.867640451
15,14.10483428
13.5,11.79722562
7.5,10.56541683
9,10.48314171
7.5,6.277836977
3,4.454472493
10.5,9.387462741
12,13.21793752
3,3.977574346
1.5,3.727376348
1.5,1.419387515
7.5,8.037348544
4.5,4.124509265
6,7.55186576
7.5,6.492388327
4.5,3.152182237
1.5,1.139542138
3,1.025950141
3,3.727323466
7.5,5.344773751
10.5,9.658852931
4.5,3.849609398
6,6.746225821
13.5,11.57099843
12,12.74475599
1.5,1.722694299
7.5,9.563790032
3,3.12626374
10.5,9.625053347
9,8.182336901
10.5,9.362487264
10.5,11.00835896
15,14.18523662
4.5,5.315948906
10.5,10.84184388
7.5,9.032599684
3,3.557903928
13.5,13.64312909
9,9.297835641
7.5,7.677023175
1.5,2.124859874
4.5,4.58335225
13.5,11.80575958
13.5,12.81137346
13.5,14.89976974
12,10.58653068
13.5,13.33643515
10.5,9.291382426
9,11.38700853
12,12.55268269
6,6.08064319
4.5,4.172292655
6,6.675499437
4.5,4.332558656
9,7.130456306
1.5,0.286479965
10.5,10.86547643
3,3.359851806
1.5,2.721375589
15,13.75605041
13.5,14.69104505
3,2.268947394
13.5,13.71631161
3,2.128743404
6,4.820659283
13.5,14.70790861
3,1.844540044
9,8.192170954
7.5,8.350501172
7.5,7.220859982
10.5,9.838504928
15,16.17751057
15,14.83497732
7.5,8.422633948
3,3.212276124
13.5,13.98361242
10.5,11.76049171
3,2.325067034
15,14.14826519
10.5,11.02703065
15,13.20415605
13.5,14.37918946
4.5,3.717589137
7.5,8.849914586
7.5,7.791878798
3,3.988987054
4.5,5.101144227
12,12.16169315
1.5,0.19132752
7.5,7.805994201
15,14.65029027
13.5,13.39321936
7.5,8.045571132
12,11.02693399
6,5.613079131
4.5,5.392118243
12,13.63638974
4.5,4.082943236
12,12.35133638
15,14.13200533
7.5,8.062572156
9,7.839762825
6,6.55096483
1.5,2.659818103
6,5.442880092
10.5,10.73824016
7.5,6.674428459
7.5,6.610493903
3,2.568985362
9,8.739446622
1.5,2.349630233
10.5,11.92979085
12,11.01421114
3,2.982578984
13.5,13.82095373
3,3.80877134
13.5,14.91967933
1.5,0.168086227
1.5,0.71136252
12,12.7593626
12,12.29782834
1.5,1.883063322
12,11.41151376
9,7.142125131
10.5,11.3097889
1.5,0.866626819
15,14.03076798
1.5,2.079748392
10.5,11.49004242
15,16.59669567
13.5,12.89875564
7.5,7.852085699
6,5.517185663
10.5,10.20348659
10.5,9.749362114
12,11.56751115
3,3.040769069
1.5,2.961772325
15,16.5157721
15,14.6805918
15,13.99895488
3,3.784812807
3,2.550651915
7.5,8.57093
4.5,4.553922511
6,6.941960377
4.5,5.374378721
1.5,0.334954309
3,3.782307486
1.5,0.667304942
15,15.5249279
4.5,4.518626641
1.5,2.007513484
6,5.060540321
10.5,10.16489736
6,4.604191971
13.5,13.81855478
6,6.288521377
13.5,12.44504937
1.5,2.168403081
3,3.635200174
1.5,3.735488769
9,10.24109657
6,6.86381089
15,14.86344369
10.5,11.76479689
6,6.737517833
4.5,3.919037316
10.5,11.99593622
9,8.576430713
15,14.29237114
9,7.474972431
4.5,2.851030662
6,6.127073835
7.5,8.845478563
1.5,0.84721744
10.5,10.16958943
1.5,1.055487871
15,13.74256592
13.5,14.09887794
6,5.161590944
15,16.49476431
12,11.86354441
4.5,3.787672471
15,14.83401712
12,12.56995064
1.5,0.241901378
12,12.74093339
1.5,1.442142853
10.5,9.654661324
3,3.30900142
7.5,7.972718696
12,12.49598435
7.5,6.79430166
1.5,1.556091894
1.5,0.875031438
4.5,4.334342419
12,13.17535058
9,9.205737376
6,6.498035962
7.5,7.170103897
1.5,2.587187525
15,13.8646134
3,2.423128875
15,14.05392046
7.5,6.593866789
12,13.03767559
9,8.653490351
3,4.870294733
10.5,9.345805171
6,6.694974093
7.5,6.629271136
4.5,5.4226897
9,8.793475564
15,15.60840613
9,10.24394289
10.5,11.67891973
15,15.39714152
3,3.454562028
10.5,9.231875977
7.5,8.604229554
6,6.089029365
15,14.57887837
9,8.123843073
12,13.24128575
12,12.97913337
9,8.801390475
1.5,4.114199795
7.5,7.74723659
3,3.60514862
15,15.53054448
10.5,10.44118483
7.5,8.257094437
10.5,10.08960192
3,3.782813145
13.5,13.64988443
13.5,13.3758887
3,2.085471832
6,7.767403007
1.5,1.220745658
3,6.2225072
12,12.32702052
12,12.44014387
4.5,4.245944237
13.5,13.05354087
7.5,7.95668491
7.5,7.418511942
9,8.876421153
6,6.380949464
13.5,12.48784147
9,7.071300288
9,8.785774596
9,8.796333899
9,9.458738981
15,16.55076429
4.5,3.698663421
4.5,4.432955894
15,14.54245311
10.5,11.51116326
1.5,2.040805355
3,5.103058596
9,10.98809249
10.5,10.58137684
12,13.22343203
1.5,2.314395089
9,9.370799073
13.5,14.26512507
9,8.447102961
10.5,11.96893442
4.5,3.67302843
