Mean,StDev
2.5,1.416109657
0.5,0.562368622
2,1.997199891
1.5,1.472888252
2.5,2.328133436
0.5,1.478811073
1,0.371261408
2.5,2.831369883
2,1.060976831
2,2.21534364
0.5,0.239433398
1.5,1.77126638
1.5,1.218260209
1,0.481219258
1,0.504364134
0.5,1.020728628
1.5,1.425045546
2,1.822578488
1,2.780124686
1,-1.310355141
0.5,2.584875427
2,3.023385347
0.5,0.540715917
1,3.339908549
2,2.004865312
2.5,2.323010557
1.5,2.645830786
2,3.177899627
2.5,1.885009722
2.5,2.630776229
2,1.6396406
0.5,1.451279788
2,2.225258574
1,-1.35879814
2.5,3.378399837
1,0.082222573
1.5,2.314012959
1,1.380508109
1.5,3.025308693
2.5,3.304842748
2.5,3.371574661
2,1.304785166
2.5,1.026121325
1.5,2.717764906
1,-0.062479049
1.5,1.458553635
1,1.63070023
1.5,2.456048906
1.5,-0.101531416
2.5,3.539878132
0.5,2.113664091
2.5,2.723681074
2,-0.003818716
0.5,-0.745864144
0.5,1.818267799
1,0.610050869
1,0.999692311
2,2.749430933
1,-1.80571241
0.5,0.009294171
2,1.23771186
2.5,3.662266003
2,1.582890092
2.5,3.285198295
1.5,0.511136766
2.5,2.314929947
2.5,1.199711308
1,0.689889508
1,1.508536669
2,2.382432706
1,0.442700976
1,0.825213317
2,1.62603991
0.5,2.101741
2,1.232934741
1.5,2.147792733
1.5,0.640691022
1.5,1.632287572
0.5,0.863384783
1.5,1.238997663
1,1.692477045
1.5,0.885145803
2,2.703885335
0.5,0.835822373
1,0.503268468
1.5,1.260809849
1,1.120722357
2,1.517352959
2.5,2.58922331
1.5,2.399555429
2.5,2.760202154
2,3.058567181
1,0.265015854
2.5,2.883277777
2.5,1.815626945
0.5,-0.596402238
1.5,0.554759395
1.5,2.714550702
1,0.212116782
1,0.972391531
2,1.776742381
2,2.778483731
0.5,0.340314932
2,1.399281501
2.5,2.710456406
2.5,0.379559682
0.5,1.168035559
1,1.33809644
2,2.538507837
2.5,1.947985817
0.5,-0.147349827
1,0.06131953
1,1.513814222
2.5,1.954801127
2,1.006653718
1.5,2.09762633
2,4.817436216
1,0.511793771
1.5,1.617811519
2,3.726517826
1.5,2.396424899
1.5,0.569968504
2.5,2.25206536
2,1.521477942
1.5,0.384388199
1.5,2.066445989
1,2.658107146
1,1.381431464
1.5,1.967909143
1.5,2.583092753
1.5,1.31412896
0.5,1.279099385
1.5,2.977777718
0.5,-0.271085189
1.5,2.124944012
1,3.222850485
2.5,1.75191916
0.5,1.710903421
2.5,3.452701209
2.5,1.611371792
2.5,3.84122138
2,2.681820224
1,-0.280156384
0.5,0.485705739
0.5,-1.189763403
2.5,2.607919093
1.5,0.294617435
1.5,4.377638506
0.5,-1.139634073
1,1.259913188
2,3.21165525
1.5,1.117612674
1.5,1.944891804
1,0.956385712
0.5,-0.788293088
2,3.468386032
2.5,3.66363734
0.5,0.4769413
2.5,2.760282
1,1.215560082
0.5,-1.522943374
1,0.394956692
1,1.740546982
0.5,1.211654846
0.5,0.673460642
1,1.429752142
2,2.51924574
1.5,1.967522712
2,-0.376421923
2,3.822733265
1.5,0.478684352
1.5,1.97335946
2.5,2.531355115
2.5,1.426923021
2,1.596174195
1.5,3.132062873
1,1.538552036
0.5,0.466719455
1,2.432795597
1.5,0.96714833
1.5,-0.478482431
0.5,1.58701668
1,0.057933062
2,1.081498953
2,2.046749912
1,0.943739525
2,3.014900174
2,3.599987292
2,-0.571437932
1,1.665057371
1.5,0.977475014
0.5,-0.363156635
1,1.061580644
1.5,1.891499075
2,2.74581369
2.5,3.595266339
1,1.520927994
1.5,0.498960171
2.5,1.986504336
1.5,2.03006547
1.5,0.729626992
0.5,-0.245739773
2.5,1.050421345
2.5,1.759856072
1.5,1.186449528
1.5,2.393219857
0.5,-0.196777454
1,0.664920291
0.5,0.621272251
1,0.621664391
0.5,1.328108704
0.5,0.275268826
1,1.99562927
0.5,0.154363853
1.5,1.582811587
2.5,2.291788492
2,3.590188816
2.5,1.515805718
0.5,0.835590355
2,1.204094998
1.5,2.454729192
0.5,0.57550115
1,2.994778427
