Mean,StDev
1,1.524052253
2.25,2.62633494
6,6.55467262
6,4.637816734
4.75,4.617512813
1,0.939672415
2.25,1.24835929
1,0.238889335
2.25,2.418853709
4.75,3.756872692
2.25,2.280740246
4.75,5.201132718
6,5.470484267
1,1.397674471
2.25,3.032458939
2.25,3.72764416
3.5,3.794801206
6,5.771809685
1,0.933992836
6,6.122474499
1,1.52417558
1,1.601583815
6,5.912795466
2.25,2.809797864
2.25,2.882542382
1,1.133990783
1,1.002197206
6,5.831811047
1,0.736941402
6,5.141786636
1,1.230185704
1,0.683705416
4.75,5.225273531
1,0.024576548
3.5,5.218295812
6,5.920464069
1,0.40265746
6,7.983563169
2.25,2.34182105
3.5,3.05378173
6,6.274398108
3.5,3.080548804
6,7.041351321
2.25,2.543868305
6,5.883394326
3.5,4.141641168
3.5,2.6796093
4.75,4.317253095
6,5.952762782
4.75,4.69181395
2.25,2.687175255
4.75,3.592567862
3.5,3.9503493
3.5,4.681326786
3.5,2.551210582
4.75,4.812232266
6,5.459402291
2.25,2.4977772
3.5,3.491641604
1,0.226805513
2.25,3.053788056
4.75,5.085036467
6,4.842260606
3.5,4.777701088
6,7.614123919
3.5,3.204738486
2.25,1.388440185
4.75,6.058526289
1,-0.130117867
3.5,2.164587971
3.5,3.069773605
3.5,4.001659016
3.5,3.181136712
4.75,4.530510143
2.25,2.301884447
1,1.426241701
4.75,5.155278538
2.25,1.989389061
4.75,4.730752904
3.5,3.1215758
6,7.028173532
1,0.761330044
1,-0.56063871
4.75,4.022027115
1,1.605052939
4.75,4.649967152
1,1.247460049
1,-0.063684366
6,6.669738838
1,1.759746329
1,1.115461683
1,1.261726882
4.75,5.064110978
4.75,4.150198197
6,7.562538365
6,5.471146223
3.5,5.493771964
2.25,1.482152651
4.75,4.427412535
4.75,3.415262015
4.75,4.938803696
6,6.724931384
3.5,4.205211671
2.25,2.744175523
1,-0.633370143
1,1.6172015
3.5,3.514261718
3.5,3.884707476
1,0.118685693
2.25,2.367026613
1,1.367555673
4.75,5.286093589
2.25,2.427975815
4.75,3.201599389
6,6.26383049
6,6.190771176
4.75,4.743583577
2.25,3.781175615
1,0.529991178
2.25,2.672324007
3.5,2.896111609
4.75,5.040709805
4.75,5.205130682
2.25,2.159102407
6,5.809470931
4.75,4.52483581
3.5,3.844702483
3.5,3.372378218
2.25,2.59287833
1,0.58614697
6,5.298644713
2.25,2.471518338
4.75,4.63056685
3.5,3.642360574
1,0.270153642
1,0.666129364
2.25,1.609062303
1,0.916741594
1,0.878115159
4.75,5.459865377
6,6.539421145
1,1.76976769
6,6.314856117
6,5.213645239
3.5,3.822041807
6,6.319261059
1,-0.19588055
4.75,4.531266759
6,6.772714786
3.5,3.636259366
3.5,3.488299195
2.25,2.425498627
2.25,3.055916597
1,0.441955455
6,6.103873306
3.5,3.982638457
3.5,2.489148628
3.5,2.336954157
2.25,2.058199227
2.25,3.74180081
2.25,3.088197205
1,1.608021554
2.25,2.648684161
4.75,5.208620476
4.75,4.504330893
4.75,3.919498095
4.75,5.438277065
2.25,2.66504973
1,1.46442528
3.5,1.115011206
2.25,2.091836835
6,6.287622444
6,6.064303699
2.25,1.861865474
3.5,3.144725644
1,1.731860944
3.5,3.9212024
1,1.189853104
4.75,5.831064517
2.25,2.454359606
2.25,2.401951993
4.75,5.496045451
6,6.598550996
6,5.110851175
4.75,5.655986471
4.75,3.848118986
6,6.0895839
2.25,2.492979519
4.75,5.335733049
6,4.535528946
6,5.737646
6,6.064965062
4.75,5.429729116
6,4.429006104
4.75,5.306539566
1,0.728558121
6,5.952321437
2.25,2.712905944
2.25,1.768955408
6,5.561134449
4.75,5.322196075
6,5.487551713
1,-0.456695708
6,4.957702412
3.5,3.154819166
3.5,3.129671192
1,0.098431084
1,1.370382299
4.75,4.824792475
1,0.240550428
6,6.407449863
4.75,4.802313142
1,1.662142896
6,6.913582281
2.25,2.539354319
4.75,5.620882058
4.75,5.378877754
3.5,3.41825857
2.25,2.180636297
4.75,4.619537266
1,1.009920507
3.5,4.199711271
4.75,4.048222325
1,-0.271968417
2.25,2.283724589
2.25,3.517079792
4.75,3.731048662
6,6.926003373
1,0.662575778
6,6.545211338
6,5.455685076
4.75,4.945196954
4.75,4.060221227
6,7.349808986
6,4.828019348
1,0.600458703
4.75,4.14638051
6,6.255191258
1,1.236738021
1,2.889026345
3.5,4.104653204
1,0.32191982
4.75,5.329453217
4.75,3.394781034
1,0.797989231
6,5.520460267
1,1.499225175
6,6.645011122
3.5,3.377669845
2.25,2.446461269
2.25,2.655179846
3.5,4.240204995
3.5,3.588297579
2.25,0.985471281
4.75,4.46665296
2.25,2.795684025
4.75,5.484071035
1,0.460756621
1,1.295167026
3.5,4.481240464
4.75,3.392045109
6,6.170602852
1,1.831322988
6,6.659770168
6,5.186435042
2.25,3.601228267
4.75,4.194666166
4.75,3.3244472
1,0.645073538
3.5,3.014870709
4.75,4.280818361
6,5.081410846
3.5,4.057163597
2.25,2.873674191
6,5.869694489
4.75,4.092209942
2.25,2.249872701
2.25,3.600549325
4.75,5.004474783
2.25,2.038075546
2.25,2.285944021
3.5,3.289007606
2.25,2.553616553
1,0.752828859
6,6.572737209
3.5,4.966431536
4.75,4.245276887
4.75,5.828360953
3.5,2.816150869
4.75,4.851651854
6,6.9155458
1,2.633464514
1,1.040329059
3.5,3.099721403
6,6.359188389
4.75,3.730158977
6,4.345547259
3.5,3.000662251
1,-0.735220882
1,0.807471946
6,7.563856834
4.75,4.681774691
2.25,1.463053745
3.5,2.173461979
4.75,4.770384821
3.5,4.868419804
6,7.083776123
6,4.814364238
6,6.084299881
4.75,4.21362723
6,7.312554484
2.25,2.630766139
1,2.239630331
3.5,4.337904803
4.75,4.818979835
2.25,2.933624903
4.75,4.81329032
6,4.772153269
4.75,5.132681047
1,0.747311999
2.25,3.979497925
3.5,3.532666675
3.5,2.72388189
4.75,4.354752417
3.5,4.128816894
1,0.215028469
4.75,4.817921928
6,6.084627839
4.75,5.114492344
6,5.791286441
1,1.394612227
4.75,6.134269856
1,0.361236769
2.25,2.309651004
2.25,1.090614898
3.5,2.645904169
2.25,2.22273921
1,0.813218473
2.25,1.890296282
4.75,4.816570083
4.75,4.870411673
2.25,1.244756495
1,1.330928736
4.75,4.545091545
3.5,4.14083107
1,1.098168467
1,0.582986853
4.75,4.706230164
1,0.914231534
4.75,4.571454349
1,1.045185547
6,4.869756481
3.5,3.723106895
3.5,3.926103058
1,1.101782048
6,5.820782267
6,5.844973395
6,5.498881822
2.25,1.876104558
2.25,2.857034896
1,1.883611002
6,5.585389745
4.75,5.858266732
2.25,0.943322733
4.75,4.718515119
4.75,4.809373809
3.5,1.730111961
6,5.89480217
6,5.056337852
2.25,1.115787641
6,6.298121628
2.25,3.454714587
3.5,3.303748737
4.75,4.896616745
6,6.63643485
4.75,5.548007152
2.25,2.810272934
3.5,5.071081181
1,1.760565347
1,1.071251348
6,6.025645921
1,1.440821913
2.25,2.278143471
1,0.650681137
2.25,2.795505587
3.5,2.870512054
4.75,4.814905927
4.75,4.06496016
2.25,1.206314456
6,5.573940669
1,1.188959095
6,5.476836296
4.75,4.342691837
3.5,4.536553374
6,7.195266354
3.5,3.51135255
2.25,2.946977654
4.75,4.239611224
6,6.856823875
1,1.443312735
4.75,4.221041882
1,1.047882676
2.25,4.027168696
1,2.022843264
4.75,3.349814599
2.25,1.94069809
3.5,3.7184468
4.75,4.693968653
2.25,1.077375994
3.5,3.728547756
2.25,2.699212618
4.75,4.300546249
4.75,3.880269826
4.75,3.968622117
2.25,2.873068894
3.5,3.437554297
1,1.223394176
4.75,4.826267574
6,5.361716658
6,6.381084959
2.25,3.053872207
1,1.117661176
3.5,3.694833545
2.25,1.962648893
1,-0.174727903
2.25,3.477487176
1,1.032319884
4.75,3.460293369
6,3.778363401
4.75,3.714323038
6,6.429159458
6,5.613747465
1,0.47649664
4.75,3.810309979
4.75,4.987897963
3.5,3.429680512
2.25,1.528492458
1,1.24862945
6,5.891535066
1,-0.38780392
1,1.012954546
4.75,4.06985826
6,6.374255414
1,0.319500017
6,5.557058785
6,5.111508224
2.25,2.512809295
1,2.594739549
3.5,3.542940193
2.25,2.427760807
4.75,5.024287656
2.25,1.932479118
4.75,5.867334154
6,6.908985661
1,1.581315301
4.75,4.709011056
6,7.322742769
4.75,4.701703236
1,2.27335499
6,5.843878587
6,6.153247676
3.5,3.128268625
6,5.760436923
6,5.556086179
2.25,2.406496709
6,4.963115496
3.5,4.734389312
3.5,4.029818938
6,6.93788168
4.75,4.663307612
1,1.718886401
2.25,3.077831349
4.75,5.594772434
4.75,5.074085178
1,1.895302436
2.25,2.8054769
2.25,1.723383232
2.25,3.159649942
2.25,1.319124179
1,1.854379584
6,5.699965082
1,1.325569588
1,2.468875841
2.25,1.850879628
6,6.246435032
4.75,4.778117243
6,5.066632713
1,0.926483241
3.5,4.775628008
6,6.432751531
1,0.453376046
4.75,4.508218724
3.5,2.523501712
1,1.197128238
2.25,1.619417208
1,0.430730078
4.75,4.410521015
1,1.002679169
1,1.10171245
2.25,0.194345893
4.75,5.56794971
1,2.451271152
6,6.541538083
2.25,1.073513971
1,1.433547884
4.75,4.826668815
4.75,4.582791801
6,6.470741783
2.25,1.389454455
3.5,3.17437489
3.5,3.55923115
2.25,2.413370663
4.75,4.236457257
3.5,2.466090909
4.75,4.234746582
6,6.071015426
2.25,2.42333523
6,4.171593259
3.5,4.45019238
6,5.665957909
6,6.253243848
3.5,3.519238062
6,6.05197106
6,5.493138301
6,5.532836599
2.25,2.183237784
2.25,3.141230693
2.25,2.597192583
4.75,4.65777006
3.5,3.959061822
1,1.668875735
6,6.211732899
3.5,4.53043384
2.25,2.080023752
2.25,2.890436743
6,5.654330694
3.5,3.139180275
2.25,1.763509431
3.5,3.935393707
6,5.701933815
6,5.684264433
4.75,2.720176892
4.75,4.456809707
6,6.239313356
2.25,3.167049062
3.5,2.800296916
2.25,2.170447511
1,-0.170441968
2.25,2.941426465
2.25,3.002164349
4.75,5.450398481
3.5,4.129715934
3.5,3.45624762
2.25,1.491617934
3.5,2.689237064
4.75,4.759462901
6,6.075390587
3.5,3.393906416
2.25,2.782284618
2.25,2.275477986
6,5.982267115
4.75,4.395588429
1,1.368292581
2.25,1.599673861
6,6.648654976
1,0.538359123
6,6.831729311
4.75,5.147244997
6,6.089992764
6,5.909700636
3.5,4.104901977
3.5,2.392392384
3.5,2.561348432
3.5,3.765900179
1,1.159334846
2.25,2.291588504
2.25,1.96347453
6,4.877377304
4.75,5.589553097
6,5.424284199
6,5.807343876
2.25,2.328425055
2.25,2.685468067
6,6.759207245
3.5,3.317542572
1,-0.367263711
3.5,3.298114961
4.75,6.59334406
4.75,4.66291323
3.5,3.840513569
2.25,1.915239683
2.25,3.043173691
1,0.780250383
6,6.19466104
4.75,4.186921164
1,0.724825816
6,6.587943849
3.5,2.80903068
6,5.723738719
1,1.292934656
6,6.442097362
3.5,2.840270659
2.25,3.569556061
1,1.535678851
4.75,4.318026662
6,7.151650062
4.75,5.722580115
1,1.366815682
6,4.009878361
6,5.658940744
4.75,4.65336702
1,0.925373628
4.75,4.211467767
4.75,4.994212033
2.25,4.188680894
2.25,2.017847703
6,7.527572097
4.75,4.666099131
1,0.326419601
2.25,1.667303811
1,1.315898321
2.25,3.157236518
6,6.28209415
2.25,1.624338284
4.75,5.200211175
1,2.411394512
2.25,1.84743041
6,4.9499133
6,6.12375513
1,0.829023791
3.5,5.263340754
2.25,4.13408874
4.75,4.78847241
3.5,2.695729131
4.75,5.125241726
